Family;Status;Part number;Temperature;Supply current;Supply current hover;Supply voltage;Supply voltage hover;Technology;Motion;Processing;Sensitive axis;Sensitive axis hover;Stray field;Package;Trim&Form;Output;Output hover;Magnetic field;Magnet TC;AEC-Q100;ASIL;Extra;Extra hover;Product page;Datasheet
Mainstream;production;MLX90316SDC-BCG-000;-20 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316EDC-BCG-000;-40 to 85;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KDC-BCG-000;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LDC-BCG-000;-40 to 150;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316EGO-BCG-000;-40 to 85;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KGO-BCG-000;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316LGO-BCG-000;-40 to 150;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;Analog|Dual Analog|PWM|Dual PWM|SPI;;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KDC-BCG-200;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KGO-BCG-200;-40 to 125;22 (LP), 32 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;TSSOP-16;;Analog;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
Mainstream;production;MLX90316KDC-BCG-300;-40 to 125;11 (LP), 16 (HS);LP:Low Power,HS:High Speed;5;;Hall;On-axis;Angle;XY;;;SOIC-8;;PWM;Factory Programmed - Memory Locked;20 to 70 (mT);-2400 to 0;✔;;4-pts anywhere PWL;;https://www.melexis.com/MLX90316;https://media.melexis.com/-/media/files/documents/datasheets/MLX90316-datasheet-melexis.pdf
